path,width,height,format,mips,bytes,top_mip_bytes,canvas_fraction,map_sized
terrain/gen_snow_lowlands_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_snow_lowlands_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_snow_lowlands_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_snow_mountain_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_snow_mountain_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_snow_mountain_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_base_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_base_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_base_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_hills_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_hills_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_hills_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_03_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_03_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_03_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_lowlands_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_mountain_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_mountain_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_steppe_mountain_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
